"doi","folder","title","object","object_label","type","engine","success","run_ok","substantive_ok","seconds","runtime_category","timed_out","skipped","timeout_seconds","error_snippet","progress_category","last_checked_at","last_success_at","source"
"10.1017/s0003055403000534","","Ethnicity, Insurgency, and Civil War","tab_1","Table 1","table","r",TRUE,TRUE,TRUE,0.519999999999982,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055403000534","","Ethnicity, Insurgency, and Civil War","tab_1_stata","Table 1","table","stata",TRUE,TRUE,,4.46000000000004,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_1","Figure 1 — Treatment summaries","figure","r",TRUE,TRUE,,14.54,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_2a","Figure 2a — Effect of EC disagreeing with domestic court (H1)","figure","r",TRUE,TRUE,,3.16000000000008,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_2b","Figure 2b — Effect of EC disagreeing with domestic court, by country","figure","r",TRUE,TRUE,,3.77999999999997,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_2c","Figure 2c — Effect of EC disagreeing with domestic court, by country (averaged over vignettes)","figure","r",TRUE,TRUE,,2.71000000000004,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_3a","Figure 3a — H1 heterogeneity by domestic rule-of-law satisfaction","figure","r",TRUE,TRUE,,6.63999999999987,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_3b","Figure 3b — H1 heterogeneity by domestic rule-of-law satisfaction (UK/Denmark only)","figure","r",TRUE,TRUE,,4.33999999999992,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_3c","Figure 3c — Difference in EC-disagreement effect by rule-of-law satisfaction (UK/Denmark only)","figure","r",TRUE,TRUE,,2.77999999999997,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_4a","Figure 4a — Effect of case outcome (H2)","figure","r",TRUE,TRUE,,2.67000000000007,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
